0,1,2,3,4,5,6,7,8,9,10,11
Saturday 03 December 2022,View groups,Round of 16,23:00,NETHERLANDS,UNITED STATES,,,3,1,FT,
Sunday 04 December 2022,View brackets,Round of 16,03:00,ARGENTINA,AUSTRALIA,,,2,1,FT,
Sunday 04 December 2022,View brackets,Round of 16,23:00,FRANCE,POLAND,,,3,1,FT,
Monday 05 December 2022,View brackets,Round of 16,03:00,ENGLAND,SENEGAL,,,3,0,FT,
Monday 05 December 2022,View brackets,Round of 16,23:00,JAPAN,CROATIA,(1),(3),1,1,FT,Croatia wins 3 - 1  on penalties
Tuesday 06 December 2022,View brackets,Round of 16,03:00,BRAZIL,KOREA REPUBLIC,,,4,1,FT,
Tuesday 06 December 2022,View brackets,Round of 16,23:00,MOROCCO,SPAIN,(3),(0),0,0,FT,Morocco wins 3 - 0  on penalties
Wednesday 07 December 2022,View brackets,Round of 16,03:00,PORTUGAL,SWITZERLAND,,,6,1,FT,
Friday 09 December 2022,View brackets,Quarter-final,23:00,CROATIA,BRAZIL,(4),(2),1,1,FT,Croatia wins 4 - 2  on penalties
Saturday 10 December 2022,View brackets,Quarter-final,03:00,NETHERLANDS,ARGENTINA,(3),(4),2,2,FT,Argentina wins 4 - 3  on penalties
Saturday 10 December 2022,View brackets,Quarter-final,23:00,MOROCCO,PORTUGAL,,,1,0,FT,
Sunday 11 December 2022,View brackets,Quarter-final,03:00,ENGLAND,FRANCE,,,1,2,FT,
Wednesday 14 December 2022,View brackets,Semi-final,03:00,ARGENTINA,CROATIA,,,3,0,FT,
Thursday 15 December 2022,View brackets,Semi-final,03:00,FRANCE,MOROCCO,,,2,0,FT,
Saturday 17 December 2022,View brackets,Play-off for third place,23:00,CROATIA,MOROCCO,,,2,1,FT,
Sunday 18 December 2022,View brackets,Final,23:00,ARGENTINA,FRANCE,(4),(2),3,3,FT,Argentina wins 4 - 2  on penalties
